method,n,k0,k1,k2,k3,k_ge_4
Best-of-K,50,47,2,1,0,0
Consensus only,50,47,2,1,0,0
Direct,50,50,0,0,0,0
OR-R1-like Voting,50,47,2,1,0,0
OptArgus-like Audit,50,47,2,1,0,0
OptiRepair-like Repair-Prompt,50,47,2,1,0,0
ReplenishVerifier-Full,50,47,2,1,0,0
ReplenishVerifier-Repair,50,47,2,1,0,0
SIRL-like LP-Stats,50,46,3,1,0,0
Solver + Consensus,50,47,2,1,0,0
Solver + Structure,50,47,2,1,0,0
Solver + Structure + Consensus,50,47,2,1,0,0
Solver only,50,47,2,1,0,0
Solver-Filter,50,47,2,1,0,0
Structure + Consensus,50,47,2,1,0,0
Structure only,50,47,2,1,0,0
Structure-Grounded Consistency,50,47,2,1,0,0
Structure-Only,50,47,2,1,0,0
