method,metric,reported,recomputed,delta,status
Best-of-K,executable_rate,0.94,0.94,0.0,OK
Best-of-K,optimal_rate,0.88,0.88,0.0,OK
Best-of-K,objective_accuracy,0.66,0.66,0.0,OK
Best-of-K,structure_completeness,0.7656,0.7655662698412696,-3.373015873031626e-05,OK
Best-of-K,inventory_balance_accuracy,0.9744,0.9743589743589743,-4.102564102570483e-05,OK
Best-of-K,constraint_coverage,0.8978,0.8978174603174602,1.746031746019394e-05,OK
Best-of-K,average_runtime_sec,0.0978,0.09780580999678933,5.809996789327143e-06,OK
Best-of-K,average_repair_feedback_count,0.34,0.34,0.0,OK
Consensus only,executable_rate,0.94,0.94,0.0,OK
Consensus only,optimal_rate,0.88,0.88,0.0,OK
Consensus only,objective_accuracy,0.68,0.68,0.0,OK
Consensus only,structure_completeness,0.7652,0.7652329365079363,3.293650793634306e-05,OK
Consensus only,inventory_balance_accuracy,0.9744,0.9743589743589743,-4.102564102570483e-05,OK
Consensus only,constraint_coverage,0.8978,0.8978174603174602,1.746031746019394e-05,OK
Consensus only,average_runtime_sec,0.0978,0.09784975747636054,4.975747636054573e-05,OK
Consensus only,average_repair_feedback_count,0.34,0.34,0.0,OK
Direct,executable_rate,0.94,0.94,0.0,OK
Direct,optimal_rate,0.88,0.88,0.0,OK
Direct,objective_accuracy,0.66,0.66,0.0,OK
Direct,structure_completeness,0.7643,0.764299603174603,-3.968253969865998e-07,OK
Direct,inventory_balance_accuracy,0.9744,0.9743589743589743,-4.102564102570483e-05,OK
Direct,constraint_coverage,0.8978,0.8978174603174602,1.746031746019394e-05,OK
Direct,average_runtime_sec,0.0978,0.0978359977575019,3.599775750190437e-05,OK
Direct,average_repair_feedback_count,0.34,0.34,0.0,OK
OR-R1-like Voting,executable_rate,0.94,0.94,0.0,OK
OR-R1-like Voting,optimal_rate,0.88,0.88,0.0,OK
OR-R1-like Voting,objective_accuracy,0.68,0.68,0.0,OK
OR-R1-like Voting,structure_completeness,0.7652,0.7652329365079363,3.293650793634306e-05,OK
OR-R1-like Voting,inventory_balance_accuracy,0.9744,0.9743589743589743,-4.102564102570483e-05,OK
OR-R1-like Voting,constraint_coverage,0.8978,0.8978174603174602,1.746031746019394e-05,OK
OR-R1-like Voting,average_runtime_sec,0.0978,0.09784975747636054,4.975747636054573e-05,OK
OR-R1-like Voting,average_repair_feedback_count,0.34,0.34,0.0,OK
OptArgus-like Audit,executable_rate,0.94,0.94,0.0,OK
OptArgus-like Audit,optimal_rate,0.88,0.88,0.0,OK
OptArgus-like Audit,objective_accuracy,0.66,0.66,0.0,OK
OptArgus-like Audit,structure_completeness,0.7656,0.7655662698412696,-3.373015873031626e-05,OK
OptArgus-like Audit,inventory_balance_accuracy,0.9744,0.9743589743589743,-4.102564102570483e-05,OK
OptArgus-like Audit,constraint_coverage,0.8978,0.8978174603174602,1.746031746019394e-05,OK
OptArgus-like Audit,average_runtime_sec,0.0978,0.09780580999678933,5.809996789327143e-06,OK
