method,problem_id,candidate_id,executable,solver_status,objective_correct_posthoc,structure_score,consensus_score,selection_score,selected
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k0,True,Optimal,0.0,0.845,1.0,0.94575,True
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k1,True,Optimal,0.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k2,True,Optimal,0.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0000,Qwen3-8B_k3,True,Optimal,0.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k0,True,Optimal,0.0,0.845,1.0,0.94575,True
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k1,True,Optimal,0.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k2,True,Optimal,0.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0001,Qwen3-8B_k3,True,Optimal,0.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k0,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k1,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k2,True,Optimal,1.0,0.875,1.0,0.9562499999999999,True
Best-of-K,fixed_order_cost_big_m_0002,Qwen3-8B_k3,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k0,True,Optimal,1.0,0.845,1.0,0.94575,True
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k1,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k2,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0003,Qwen3-8B_k3,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0004,Qwen3-8B_k0,True,Optimal,1.0,0.845,1.0,0.94575,True
Best-of-K,fixed_order_cost_big_m_0004,Qwen3-8B_k1,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0004,Qwen3-8B_k2,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0004,Qwen3-8B_k3,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0005,Qwen3-8B_k0,True,Optimal,0.0,0.875,1.0,0.9562499999999999,True
Best-of-K,fixed_order_cost_big_m_0005,Qwen3-8B_k1,True,Optimal,0.0,0.875,1.0,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0005,Qwen3-8B_k2,True,Optimal,0.0,0.875,1.0,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0005,Qwen3-8B_k3,True,Optimal,0.0,0.875,1.0,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0006,Qwen3-8B_k0,True,Optimal,0.0,0.875,1.0,0.9562499999999999,True
Best-of-K,fixed_order_cost_big_m_0006,Qwen3-8B_k1,True,Optimal,0.0,0.875,1.0,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0006,Qwen3-8B_k2,True,Optimal,0.0,0.875,1.0,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0006,Qwen3-8B_k3,True,Optimal,0.0,0.875,1.0,0.9562499999999999,False
Best-of-K,fixed_order_cost_big_m_0007,Qwen3-8B_k0,True,Optimal,1.0,0.845,1.0,0.94575,True
Best-of-K,fixed_order_cost_big_m_0007,Qwen3-8B_k1,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0007,Qwen3-8B_k2,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0007,Qwen3-8B_k3,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0008,Qwen3-8B_k0,True,Optimal,0.0,0.86,1.0,0.951,True
Best-of-K,fixed_order_cost_big_m_0008,Qwen3-8B_k1,True,Optimal,0.0,0.86,1.0,0.951,False
Best-of-K,fixed_order_cost_big_m_0008,Qwen3-8B_k2,True,Optimal,0.0,0.86,1.0,0.951,False
Best-of-K,fixed_order_cost_big_m_0008,Qwen3-8B_k3,True,Optimal,0.0,0.86,1.0,0.951,False
Best-of-K,fixed_order_cost_big_m_0009,Qwen3-8B_k0,True,Optimal,1.0,0.845,1.0,0.94575,True
Best-of-K,fixed_order_cost_big_m_0009,Qwen3-8B_k1,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0009,Qwen3-8B_k2,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,fixed_order_cost_big_m_0009,Qwen3-8B_k3,True,Optimal,1.0,0.845,1.0,0.94575,False
Best-of-K,multi_item_capacity_0000,Qwen3-8B_k0,True,Infeasible,0.0,0.73125,0.0,0.0,True
Best-of-K,multi_item_capacity_0000,Qwen3-8B_k1,True,Infeasible,0.0,0.73125,0.0,0.0,False
Best-of-K,multi_item_capacity_0000,Qwen3-8B_k2,True,Infeasible,0.0,0.73125,0.0,0.0,False
Best-of-K,multi_item_capacity_0000,Qwen3-8B_k3,True,Infeasible,0.0,0.73125,0.0,0.0,False
Best-of-K,multi_item_capacity_0001,Qwen3-8B_k0,True,Optimal,1.0,0.71875,1.0,0.8593749999999999,True
Best-of-K,multi_item_capacity_0001,Qwen3-8B_k1,True,Optimal,1.0,0.71875,1.0,0.8593749999999999,False
Best-of-K,multi_item_capacity_0001,Qwen3-8B_k2,True,Optimal,1.0,0.71875,1.0,0.8593749999999999,False
Best-of-K,multi_item_capacity_0001,Qwen3-8B_k3,True,Optimal,1.0,0.71875,1.0,0.8593749999999999,False
Best-of-K,multi_item_capacity_0002,Qwen3-8B_k0,True,Optimal,1.0,0.71875,1.0,0.8593749999999999,True
Best-of-K,multi_item_capacity_0002,Qwen3-8B_k1,True,Optimal,1.0,0.71875,1.0,0.8593749999999999,False
Best-of-K,multi_item_capacity_0002,Qwen3-8B_k2,True,Optimal,1.0,0.71875,1.0,0.8593749999999999,False
Best-of-K,multi_item_capacity_0002,Qwen3-8B_k3,True,Optimal,1.0,0.71875,1.0,0.8593749999999999,False
Best-of-K,multi_item_capacity_0003,Qwen3-8B_k0,False,Error,0.0,0.0,0.0,0.0,True
Best-of-K,multi_item_capacity_0003,Qwen3-8B_k1,False,Error,0.0,0.0,0.0,0.0,False
Best-of-K,multi_item_capacity_0003,Qwen3-8B_k2,False,Error,0.0,0.0,0.0,0.0,False
