method_a,method_b,n_common,same_count,same_selection_rate
Best-of-K,Consensus only,50,47,0.94
Best-of-K,Direct,50,42,0.84
Best-of-K,OR-R1-like Voting,50,47,0.94
Best-of-K,OptArgus-like Audit,50,49,0.98
Best-of-K,OptiRepair-like Repair-Prompt,50,49,0.98
Best-of-K,ReplenishVerifier-Full,50,49,0.98
Best-of-K,ReplenishVerifier-Repair,50,49,0.98
Best-of-K,ReplenishVerifier-TypeAware,50,22,0.44
Best-of-K,SIRL-like LP-Stats,50,48,0.96
Best-of-K,Solver + Consensus,50,47,0.94
Best-of-K,Solver + Structure,50,49,0.98
Best-of-K,Solver + Structure + Consensus,50,47,0.94
Best-of-K,Solver only,50,49,0.98
Best-of-K,Solver-Filter,50,49,0.98
Best-of-K,Structure + Consensus,50,47,0.94
Best-of-K,Structure only,50,49,0.98
Best-of-K,Structure-Grounded Consistency,50,47,0.94
Best-of-K,Structure-Only,50,49,0.98
Consensus only,Direct,50,39,0.78
Consensus only,OR-R1-like Voting,50,50,1.0
Consensus only,OptArgus-like Audit,50,48,0.96
Consensus only,OptiRepair-like Repair-Prompt,50,48,0.96
Consensus only,ReplenishVerifier-Full,50,48,0.96
Consensus only,ReplenishVerifier-Repair,50,48,0.96
Consensus only,ReplenishVerifier-TypeAware,50,24,0.48
Consensus only,SIRL-like LP-Stats,50,47,0.94
Consensus only,Solver + Consensus,50,50,1.0
Consensus only,Solver + Structure,50,48,0.96
Consensus only,Solver + Structure + Consensus,50,50,1.0
Consensus only,Solver only,50,48,0.96
Consensus only,Solver-Filter,50,48,0.96
Consensus only,Structure + Consensus,50,50,1.0
Consensus only,Structure only,50,48,0.96
Consensus only,Structure-Grounded Consistency,50,50,1.0
Consensus only,Structure-Only,50,48,0.96
Direct,OR-R1-like Voting,50,39,0.78
Direct,OptArgus-like Audit,50,41,0.82
Direct,OptiRepair-like Repair-Prompt,50,41,0.82
Direct,ReplenishVerifier-Full,50,41,0.82
Direct,ReplenishVerifier-Repair,50,41,0.82
Direct,ReplenishVerifier-TypeAware,50,16,0.32
Direct,SIRL-like LP-Stats,50,40,0.8
Direct,Solver + Consensus,50,39,0.78
Direct,Solver + Structure,50,41,0.82
Direct,Solver + Structure + Consensus,50,39,0.78
Direct,Solver only,50,41,0.82
Direct,Solver-Filter,50,41,0.82
Direct,Structure + Consensus,50,39,0.78
Direct,Structure only,50,41,0.82
Direct,Structure-Grounded Consistency,50,39,0.78
Direct,Structure-Only,50,41,0.82
OR-R1-like Voting,OptArgus-like Audit,50,48,0.96
