method,n,code_validity_rate,executable_rate,optimal_rate,solver_status_optimal_rate,solver_status_infeasible_rate,solver_status_timeout_rate,solver_status_error_rate,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap,structure_completeness,inventory_balance_accuracy,constraint_coverage,objective_term_coverage,average_runtime_sec,median_runtime_sec,average_repair_feedback_count,objective_accuracy_ci_low,objective_accuracy_ci_high,structure_completeness_ci_low,structure_completeness_ci_high,constraint_coverage_ci_low,constraint_coverage_ci_high
Best-of-K,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0,0.7773555555555557,1.0,0.9127777777777777,0.9866666666666667,0.09162743173656054,0.09110991301713511,0.22,0.56,0.82,0.7096464285714285,0.8281964285714288,0.8327777777777777,0.9727777777777777
Consensus only,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.16566689568246606,0.0,0.16566689568246606,0.0,0.7770222222222223,1.0,0.9127777777777777,0.9866666666666667,0.09181833849521354,0.09110991301713511,0.22,0.56,0.82,0.7089797619047619,0.8278833333333333,0.8327777777777777,0.9727777777777777
Direct,50,1.0,0.9,0.8,0.8,0.1,0.0,0.1,0.68,0.18182964968822837,0.0,0.18182964968822837,0.0,0.7445964285714287,1.0,0.8775,0.9866666666666667,0.08893030255567283,0.08897343245917,0.18,0.54,0.8,0.6668436507936506,0.8106154761904765,0.785,0.955
OR-R1-like Voting,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.16566689568246606,0.0,0.16566689568246606,0.0,0.7770222222222223,1.0,0.9127777777777777,0.9866666666666667,0.09181833849521354,0.09110991301713511,0.22,0.56,0.82,0.7089797619047619,0.8278833333333333,0.8327777777777777,0.9727777777777777
OptArgus-like Audit,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0,0.7773555555555557,1.0,0.9127777777777777,0.9866666666666667,0.09162581369513646,0.09110991301713511,0.22,0.56,0.82,0.7096464285714285,0.8281964285714288,0.8327777777777777,0.9727777777777777
OptiRepair-like Repair-Prompt,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0,0.7773555555555557,1.0,0.9127777777777777,0.9866666666666667,0.09162581369513646,0.09110991301713511,0.22,0.56,0.82,0.7096464285714285,0.8281964285714288,0.8327777777777777,0.9727777777777777
ReplenishVerifier-Full,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0,0.7773555555555557,1.0,0.9127777777777777,0.9866666666666667,0.09162581369513646,0.09110991301713511,0.22,0.56,0.82,0.7096464285714285,0.8281964285714288,0.8327777777777777,0.9727777777777777
ReplenishVerifier-Repair,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0,0.7773555555555557,1.0,0.9127777777777777,0.9866666666666667,0.09162581369513646,0.09110991301713511,0.22,0.56,0.82,0.7096464285714285,0.8281964285714288,0.8327777777777777,0.9727777777777777
ReplenishVerifier-TypeAware,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.72,0.1302913509503461,0.0,0.1302913509503461,0.0,0.7770222222222223,1.0,0.9127777777777777,0.9866666666666667,0.08749439095612616,0.08753765001893044,0.2,0.6,0.84,0.7089797619047619,0.8278833333333333,0.8327777777777777,0.9727777777777777
SIRL-like LP-Stats,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0,0.7770222222222223,1.0,0.9127777777777777,0.9866666666666667,0.0915381641755812,0.09110991301713511,0.22,0.56,0.82,0.7096464285714285,0.8281964285714288,0.8327777777777777,0.9727777777777777
Solver + Consensus,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.16566689568246606,0.0,0.16566689568246606,0.0,0.7770222222222223,1.0,0.9127777777777777,0.9866666666666667,0.09181833849521354,0.09110991301713511,0.22,0.56,0.82,0.7089797619047619,0.8278833333333333,0.8327777777777777,0.9727777777777777
