method,n,code_validity_rate,executable_rate,optimal_rate,objective_accuracy,structure_completeness,constraint_coverage,objective_term_coverage
Best-of-K,50,1.0,0.94,0.82,0.7,0.7773555555555557,0.9127777777777777,0.9866666666666667
Consensus only,50,1.0,0.94,0.82,0.7,0.7770222222222223,0.9127777777777777,0.9866666666666667
Direct,50,1.0,0.9,0.8,0.68,0.7445964285714287,0.8775,0.9866666666666667
OR-R1-like Voting,50,1.0,0.94,0.82,0.7,0.7770222222222223,0.9127777777777777,0.9866666666666667
OptArgus-like Audit,50,1.0,0.94,0.82,0.7,0.7773555555555557,0.9127777777777777,0.9866666666666667
OptiRepair-like Repair-Prompt,50,1.0,0.94,0.82,0.7,0.7773555555555557,0.9127777777777777,0.9866666666666667
ReplenishVerifier-Full,50,1.0,0.94,0.82,0.7,0.7773555555555557,0.9127777777777777,0.9866666666666667
ReplenishVerifier-Repair,50,1.0,0.94,0.82,0.7,0.7773555555555557,0.9127777777777777,0.9866666666666667
ReplenishVerifier-TypeAware,50,1.0,0.94,0.82,0.72,0.7770222222222223,0.9127777777777777,0.9866666666666667
SIRL-like LP-Stats,50,1.0,0.94,0.82,0.7,0.7770222222222223,0.9127777777777777,0.9866666666666667
Solver + Consensus,50,1.0,0.94,0.82,0.7,0.7770222222222223,0.9127777777777777,0.9866666666666667
Solver + Structure,50,1.0,0.94,0.82,0.7,0.7773555555555557,0.9127777777777777,0.9866666666666667
Solver + Structure + Consensus,50,1.0,0.94,0.82,0.7,0.7770222222222223,0.9127777777777777,0.9866666666666667
Solver only,50,1.0,0.94,0.82,0.7,0.7773555555555557,0.9127777777777777,0.9866666666666667
Solver-Filter,50,1.0,0.94,0.82,0.7,0.7773555555555557,0.9127777777777777,0.9866666666666667
Structure + Consensus,50,1.0,0.94,0.82,0.7,0.7770222222222223,0.9127777777777777,0.9866666666666667
Structure only,50,1.0,0.94,0.82,0.7,0.7773555555555557,0.9127777777777777,0.9866666666666667
Structure-Grounded Consistency,50,1.0,0.94,0.82,0.7,0.7770222222222223,0.9127777777777777,0.9866666666666667
Structure-Only,50,1.0,0.94,0.82,0.7,0.7773555555555557,0.9127777777777777,0.9866666666666667
