method,n,structure_completeness,inventory_balance_accuracy,constraint_coverage
Best-of-K,50,0.7773555555555557,1.0,0.9127777777777777
Consensus only,50,0.7770222222222223,1.0,0.9127777777777777
Direct,50,0.7445964285714287,1.0,0.8775
OR-R1-like Voting,50,0.7770222222222223,1.0,0.9127777777777777
OptArgus-like Audit,50,0.7773555555555557,1.0,0.9127777777777777
OptiRepair-like Repair-Prompt,50,0.7773555555555557,1.0,0.9127777777777777
ReplenishVerifier-Full,50,0.7773555555555557,1.0,0.9127777777777777
ReplenishVerifier-Repair,50,0.7773555555555557,1.0,0.9127777777777777
ReplenishVerifier-TypeAware,50,0.7770222222222223,1.0,0.9127777777777777
SIRL-like LP-Stats,50,0.7770222222222223,1.0,0.9127777777777777
Solver + Consensus,50,0.7770222222222223,1.0,0.9127777777777777
Solver + Structure,50,0.7773555555555557,1.0,0.9127777777777777
Solver + Structure + Consensus,50,0.7770222222222223,1.0,0.9127777777777777
Solver only,50,0.7773555555555557,1.0,0.9127777777777777
Solver-Filter,50,0.7773555555555557,1.0,0.9127777777777777
Structure + Consensus,50,0.7770222222222223,1.0,0.9127777777777777
Structure only,50,0.7773555555555557,1.0,0.9127777777777777
Structure-Grounded Consistency,50,0.7770222222222223,1.0,0.9127777777777777
Structure-Only,50,0.7773555555555557,1.0,0.9127777777777777
