method,metric,reported,recomputed,delta,status
Best-of-K,executable_rate,0.0,0.0,0.0,OK
Best-of-K,optimal_rate,0.0,0.0,0.0,OK
Best-of-K,objective_accuracy,0.0,0.0,0.0,OK
Best-of-K,structure_completeness,0.0,0.0,0.0,OK
Best-of-K,inventory_balance_accuracy,0.0,0.0,0.0,OK
Best-of-K,constraint_coverage,0.0,0.0,0.0,OK
Best-of-K,average_runtime_sec,0.0733,0.07334480768884533,4.4807688845321936e-05,OK
Best-of-K,average_repair_feedback_count,0.0,0.0,0.0,OK
Consensus only,executable_rate,0.0,0.0,0.0,OK
Consensus only,optimal_rate,0.0,0.0,0.0,OK
Consensus only,objective_accuracy,0.0,0.0,0.0,OK
Consensus only,structure_completeness,0.0,0.0,0.0,OK
Consensus only,inventory_balance_accuracy,0.0,0.0,0.0,OK
Consensus only,constraint_coverage,0.0,0.0,0.0,OK
Consensus only,average_runtime_sec,0.0693,0.06925850716710556,-4.149283289443806e-05,OK
Consensus only,average_repair_feedback_count,0.0,0.0,0.0,OK
Direct,executable_rate,0.0,0.0,0.0,OK
Direct,optimal_rate,0.0,0.0,0.0,OK
Direct,objective_accuracy,0.0,0.0,0.0,OK
Direct,structure_completeness,0.0,0.0,0.0,OK
Direct,inventory_balance_accuracy,0.0,0.0,0.0,OK
Direct,constraint_coverage,0.0,0.0,0.0,OK
Direct,average_runtime_sec,0.0733,0.07334480768884533,4.4807688845321936e-05,OK
Direct,average_repair_feedback_count,0.0,0.0,0.0,OK
ReplenishVerifier-Full,executable_rate,0.0,0.0,0.0,OK
ReplenishVerifier-Full,optimal_rate,0.0,0.0,0.0,OK
ReplenishVerifier-Full,objective_accuracy,0.0,0.0,0.0,OK
ReplenishVerifier-Full,structure_completeness,0.0,0.0,0.0,OK
ReplenishVerifier-Full,inventory_balance_accuracy,0.0,0.0,0.0,OK
ReplenishVerifier-Full,constraint_coverage,0.0,0.0,0.0,OK
ReplenishVerifier-Full,average_runtime_sec,0.0734,0.07336253229877912,-3.7467701220886274e-05,OK
ReplenishVerifier-Full,average_repair_feedback_count,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware,executable_rate,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware,optimal_rate,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware,objective_accuracy,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware,structure_completeness,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware,inventory_balance_accuracy,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware,constraint_coverage,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware,average_runtime_sec,0.0693,0.06925992443691939,-4.0075563080610443e-05,OK
ReplenishVerifier-TypeAware,average_repair_feedback_count,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware-Consensus,executable_rate,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware-Consensus,optimal_rate,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware-Consensus,objective_accuracy,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware-Consensus,structure_completeness,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware-Consensus,inventory_balance_accuracy,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware-Consensus,constraint_coverage,0.0,0.0,0.0,OK
ReplenishVerifier-TypeAware-Consensus,average_runtime_sec,0.0693,0.06925992443691939,-4.0075563080610443e-05,OK
ReplenishVerifier-TypeAware-Consensus,average_repair_feedback_count,0.0,0.0,0.0,OK
Solver only,executable_rate,0.0,0.0,0.0,OK
Solver only,optimal_rate,0.0,0.0,0.0,OK
Solver only,objective_accuracy,0.0,0.0,0.0,OK
Solver only,structure_completeness,0.0,0.0,0.0,OK
Solver only,inventory_balance_accuracy,0.0,0.0,0.0,OK
Solver only,constraint_coverage,0.0,0.0,0.0,OK
Solver only,average_runtime_sec,0.0693,0.06933375373715535,3.375373715534813e-05,OK
Solver only,average_repair_feedback_count,0.0,0.0,0.0,OK
Structure only,executable_rate,0.0,0.0,0.0,OK
Structure only,optimal_rate,0.0,0.0,0.0,OK
Structure only,objective_accuracy,0.0,0.0,0.0,OK
Structure only,structure_completeness,0.0,0.0,0.0,OK
Structure only,inventory_balance_accuracy,0.0,0.0,0.0,OK
Structure only,constraint_coverage,0.0,0.0,0.0,OK
Structure only,average_runtime_sec,0.0733,0.07334480768884533,4.4807688845321936e-05,OK
Structure only,average_repair_feedback_count,0.0,0.0,0.0,OK
