method,problem_type,n,executable_rate,optimal_rate,objective_accuracy,structure_completeness,constraint_coverage,objective_term_coverage
Best-of-K,fixed_order_cost_big_m,20,0.0,0.0,0.0,0.0,0.0,1.0
Best-of-K,multi_item_capacity,20,0.0,0.0,0.0,0.0,0.0,1.0
Best-of-K,single_item_multi_period,20,0.0,0.0,0.0,0.0,0.0,1.0
Best-of-K,single_item_multi_period_shortage,20,0.0,0.0,0.0,0.0,0.0,1.0
Best-of-K,single_period_newsvendor,20,0.0,0.0,0.0,0.0,0.0,0.9
Consensus only,fixed_order_cost_big_m,20,0.0,0.0,0.0,0.0,0.0,1.0
Consensus only,multi_item_capacity,20,0.0,0.0,0.0,0.0,0.0,1.0
Consensus only,single_item_multi_period,20,0.0,0.0,0.0,0.0,0.0,1.0
Consensus only,single_item_multi_period_shortage,20,0.0,0.0,0.0,0.0,0.0,1.0
Consensus only,single_period_newsvendor,20,0.0,0.0,0.0,0.0,0.0,0.9
Direct,fixed_order_cost_big_m,20,0.0,0.0,0.0,0.0,0.0,1.0
Direct,multi_item_capacity,20,0.0,0.0,0.0,0.0,0.0,1.0
Direct,single_item_multi_period,20,0.0,0.0,0.0,0.0,0.0,1.0
Direct,single_item_multi_period_shortage,20,0.0,0.0,0.0,0.0,0.0,1.0
Direct,single_period_newsvendor,20,0.0,0.0,0.0,0.0,0.0,0.9
ReplenishVerifier-Full,fixed_order_cost_big_m,20,0.0,0.0,0.0,0.0,0.0,1.0
ReplenishVerifier-Full,multi_item_capacity,20,0.0,0.0,0.0,0.0,0.0,1.0
ReplenishVerifier-Full,single_item_multi_period,20,0.0,0.0,0.0,0.0,0.0,1.0
ReplenishVerifier-Full,single_item_multi_period_shortage,20,0.0,0.0,0.0,0.0,0.0,1.0
ReplenishVerifier-Full,single_period_newsvendor,20,0.0,0.0,0.0,0.0,0.0,0.9
ReplenishVerifier-TypeAware,fixed_order_cost_big_m,20,0.0,0.0,0.0,0.0,0.0,1.0
ReplenishVerifier-TypeAware,multi_item_capacity,20,0.0,0.0,0.0,0.0,0.0,1.0
ReplenishVerifier-TypeAware,single_item_multi_period,20,0.0,0.0,0.0,0.0,0.0,1.0
ReplenishVerifier-TypeAware,single_item_multi_period_shortage,20,0.0,0.0,0.0,0.0,0.0,1.0
ReplenishVerifier-TypeAware,single_period_newsvendor,20,0.0,0.0,0.0,0.0,0.0,0.9
ReplenishVerifier-TypeAware-Consensus,fixed_order_cost_big_m,20,0.0,0.0,0.0,0.0,0.0,1.0
ReplenishVerifier-TypeAware-Consensus,multi_item_capacity,20,0.0,0.0,0.0,0.0,0.0,1.0
ReplenishVerifier-TypeAware-Consensus,single_item_multi_period,20,0.0,0.0,0.0,0.0,0.0,1.0
ReplenishVerifier-TypeAware-Consensus,single_item_multi_period_shortage,20,0.0,0.0,0.0,0.0,0.0,1.0
ReplenishVerifier-TypeAware-Consensus,single_period_newsvendor,20,0.0,0.0,0.0,0.0,0.0,0.9
