method_a,method_b,n_common,same_count,same_selection_rate
Best-of-K,Consensus only,100,59,0.59
Best-of-K,Direct,100,16,0.16
Best-of-K,ReplenishVerifier-ConsensusSafe,100,84,0.84
Best-of-K,ReplenishVerifier-Full,100,45,0.45
Best-of-K,ReplenishVerifier-FullV2,100,45,0.45
Best-of-K,ReplenishVerifier-HybridSafe,100,84,0.84
Best-of-K,ReplenishVerifier-TypeAware,100,82,0.82
Best-of-K,ReplenishVerifier-TypeAware-Consensus,100,84,0.84
Best-of-K,Solver only,100,56,0.56
Best-of-K,Structure only,100,42,0.42
Consensus only,Direct,100,11,0.11
Consensus only,ReplenishVerifier-ConsensusSafe,100,65,0.65
Consensus only,ReplenishVerifier-Full,100,20,0.2
Consensus only,ReplenishVerifier-FullV2,100,20,0.2
Consensus only,ReplenishVerifier-HybridSafe,100,65,0.65
Consensus only,ReplenishVerifier-TypeAware,100,61,0.61
Consensus only,ReplenishVerifier-TypeAware-Consensus,100,65,0.65
Consensus only,Solver only,100,92,0.92
Consensus only,Structure only,100,17,0.17
Direct,ReplenishVerifier-ConsensusSafe,100,8,0.08
Direct,ReplenishVerifier-Full,100,51,0.51
Direct,ReplenishVerifier-FullV2,100,51,0.51
Direct,ReplenishVerifier-HybridSafe,100,8,0.08
Direct,ReplenishVerifier-TypeAware,100,7,0.07
Direct,ReplenishVerifier-TypeAware-Consensus,100,8,0.08
Direct,Solver only,100,12,0.12
Direct,Structure only,100,54,0.54
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-Full,100,42,0.42
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-FullV2,100,42,0.42
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-HybridSafe,100,100,1.0
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware,100,96,0.96
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware-Consensus,100,100,1.0
ReplenishVerifier-ConsensusSafe,Solver only,100,58,0.58
ReplenishVerifier-ConsensusSafe,Structure only,100,39,0.39
ReplenishVerifier-Full,ReplenishVerifier-FullV2,100,100,1.0
ReplenishVerifier-Full,ReplenishVerifier-HybridSafe,100,42,0.42
ReplenishVerifier-Full,ReplenishVerifier-TypeAware,100,40,0.4
ReplenishVerifier-Full,ReplenishVerifier-TypeAware-Consensus,100,42,0.42
ReplenishVerifier-Full,Solver only,100,18,0.18
ReplenishVerifier-Full,Structure only,100,96,0.96
ReplenishVerifier-FullV2,ReplenishVerifier-HybridSafe,100,42,0.42
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware,100,40,0.4
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware-Consensus,100,42,0.42
ReplenishVerifier-FullV2,Solver only,100,18,0.18
ReplenishVerifier-FullV2,Structure only,100,96,0.96
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware,100,96,0.96
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware-Consensus,100,100,1.0
ReplenishVerifier-HybridSafe,Solver only,100,58,0.58
ReplenishVerifier-HybridSafe,Structure only,100,39,0.39
ReplenishVerifier-TypeAware,ReplenishVerifier-TypeAware-Consensus,100,96,0.96
ReplenishVerifier-TypeAware,Solver only,100,54,0.54
ReplenishVerifier-TypeAware,Structure only,100,37,0.37
ReplenishVerifier-TypeAware-Consensus,Solver only,100,58,0.58
ReplenishVerifier-TypeAware-Consensus,Structure only,100,39,0.39
Solver only,Structure only,100,15,0.15
