method,n,objective_accuracy_count,objective_accuracy_total,structure_complete_count,structure_complete_total,code_validity_rate,executable_rate,optimal_rate,solver_status_optimal_rate,solver_status_infeasible_rate,solver_status_timeout_rate,solver_status_error_rate,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap,structure_completeness,inventory_balance_accuracy,constraint_coverage,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage,average_runtime_sec,median_runtime_sec,average_repair_feedback_count,objective_accuracy_ci_low,objective_accuracy_ci_high,structure_completeness_ci_low,structure_completeness_ci_high,constraint_coverage_ci_low,constraint_coverage_ci_high
Best-of-K,100,81,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.81,0.1352859137067651,0.0,0.1352859137067651,0.0,0.803203571428572,1.0,0.9394444444444444,0.975,0.9209621993127148,0.9083333333333334,0.10224611262849066,0.10057130851782858,0.26,0.74,0.89,0.764665674603175,0.830512301587302,0.8936111111111111,0.9716666666666666
Consensus only,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12171229196279001,0.0,0.12171229196279001,0.0,0.789270833333333,1.0,0.9306944444444444,0.995,0.9175257731958765,0.915,0.09886283710016869,0.10013081048964523,0.33,0.75,0.9,0.753022023809524,0.8168888888888892,0.8875,0.9625
Direct,100,70,100,0,100,1.0,0.91,0.78,0.78,0.12,0.0,0.09,0.7,0.1432223652661633,0.0,0.1432223652661633,0.0,0.7489063492063489,1.0,0.8841666666666665,1.0,0.9194139194139199,0.926666666666667,0.1054078037617728,0.10757053547422402,0.21,0.62,0.79,0.6980817460317461,0.7914765873015877,0.8245833333333333,0.9341666666666667
ReplenishVerifier-ConsensusSafe,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12207044617125418,0.0,0.12207044617125418,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.10197590703668538,0.1010315979947336,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
ReplenishVerifier-Full,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.10755604315898382,0.10747903297306038,0.22,0.74,0.89,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
ReplenishVerifier-FullV2,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.10755604315898382,0.10747903297306038,0.08,0.74,0.89,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
ReplenishVerifier-HybridSafe,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12207044617125418,0.0,0.12207044617125418,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.10197590703668538,0.1010315979947336,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
ReplenishVerifier-TypeAware,100,83,100,0,100,1.0,0.93,0.87,0.87,0.06,0.0,0.07,0.83,0.02716798195453856,0.0,0.02716798195453856,0.0,0.7812244047619054,1.0,0.9136111111111112,1.0,0.9318996415770608,0.9366666666666665,0.10047870674694423,0.10057130851782858,0.06,0.75,0.9,0.7357988095238102,0.8210628968253972,0.8608333333333335,0.9602777777777777
ReplenishVerifier-TypeAware-Consensus,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12207044617125418,0.0,0.12207044617125418,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.10197590703668538,0.1010315979947336,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
Solver only,100,78,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.78,0.15528852629419979,0.0,0.15528852629419979,0.0,0.7877232142857138,1.0,0.9295833333333334,0.995,0.9175257731958765,0.915,0.09870293685118668,0.09997307398589328,0.34,0.7,0.86,0.7518077380952383,0.8156158730158729,0.8863888888888891,0.9611111111111111
Structure only,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9072164948453612,0.9033333333333335,0.10770779941871296,0.10784552645054646,0.22,0.74,0.89,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
