method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,100,0.10224611262849066,0.10057130851782858,0.26
Consensus only,100,0.09886283710016869,0.10013081048964523,0.33
Direct,100,0.1054078037617728,0.10757053547422402,0.21
ReplenishVerifier-ConsensusSafe,100,0.10197590703668538,0.1010315979947336,0.08
ReplenishVerifier-Full,100,0.10755604315898382,0.10747903297306038,0.22
ReplenishVerifier-FullV2,100,0.10755604315898382,0.10747903297306038,0.08
ReplenishVerifier-HybridSafe,100,0.10197590703668538,0.1010315979947336,0.08
ReplenishVerifier-TypeAware,100,0.10047870674694423,0.10057130851782858,0.06
ReplenishVerifier-TypeAware-Consensus,100,0.10197590703668538,0.1010315979947336,0.08
Solver only,100,0.09870293685118668,0.09997307398589328,0.34
Structure only,100,0.10770779941871296,0.10784552645054646,0.22
