method,n,objective_accuracy_count,objective_accuracy_total,structure_complete_count,structure_complete_total,code_validity_rate,executable_rate,optimal_rate,solver_status_optimal_rate,solver_status_infeasible_rate,solver_status_timeout_rate,solver_status_error_rate,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap,structure_completeness,inventory_balance_accuracy,constraint_coverage,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage,average_runtime_sec,median_runtime_sec,average_repair_feedback_count,objective_accuracy_ci_low,objective_accuracy_ci_high,structure_completeness_ci_low,structure_completeness_ci_high,constraint_coverage_ci_low,constraint_coverage_ci_high
Best-of-K,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.11189754690487945,0.0,0.11189754690487945,0.0,0.803203571428572,1.0,0.9394444444444444,0.98,0.9209621993127148,0.9133333333333334,0.10429036881192587,0.102280612452887,0.26,0.76,0.91,0.764665674603175,0.830512301587302,0.8936111111111111,0.9716666666666666
Consensus only,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.1230962450121015,0.0,0.1230962450121015,0.0,0.7927952380952378,1.0,0.9344444444444444,1.0,0.9209621993127148,0.9233333333333333,0.09933002069825307,0.10006520949536934,0.3,0.74,0.89,0.7565424603174605,0.8200890873015878,0.8905555555555555,0.9654166666666667
Direct,100,70,100,0,100,1.0,0.91,0.78,0.78,0.12,0.0,0.09,0.7,0.1432223652661633,0.0,0.1432223652661633,0.0,0.7489063492063489,1.0,0.8841666666666665,1.0,0.9194139194139199,0.926666666666667,0.10730941630899907,0.1077951259794645,0.21,0.62,0.79,0.6980817460317461,0.7914765873015877,0.8245833333333333,0.9341666666666667
ReplenishVerifier-ConsensusSafe,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12207044617125418,0.0,0.12207044617125418,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.10196166803594679,0.102280612452887,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
ReplenishVerifier-Full,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.11543912375010025,0.0,0.11543912375010025,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.10677578186267056,0.10885346995200962,0.22,0.76,0.9,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
ReplenishVerifier-FullV2,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.11543912375010025,0.0,0.11543912375010025,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.10677578186267056,0.10885346995200962,0.08,0.76,0.9,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
ReplenishVerifier-HybridSafe,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12207044617125418,0.0,0.12207044617125418,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.10196166803594679,0.102280612452887,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
ReplenishVerifier-TypeAware,100,83,100,0,100,1.0,0.93,0.87,0.87,0.06,0.0,0.07,0.83,0.02716798195453856,0.0,0.02716798195453856,0.0,0.7805994047619054,1.0,0.9136111111111112,1.0,0.9318996415770608,0.9366666666666665,0.10052835343638435,0.10174474550876766,0.06,0.75,0.9,0.7345488095238102,0.8199849206349209,0.8608333333333335,0.9602777777777777
ReplenishVerifier-TypeAware-Consensus,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12207044617125418,0.0,0.12207044617125418,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.10196166803594679,0.102280612452887,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
Solver only,100,81,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.81,0.12745990711705193,0.0,0.12745990711705193,0.0,0.7907476190476187,1.0,0.9323333333333335,1.0,0.9209621993127148,0.9233333333333333,0.0991262622573413,0.09992320649325848,0.32,0.73,0.88,0.7542325396825404,0.8179621031746036,0.8895555555555557,0.9640000000000002
Structure only,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9072164948453612,0.9033333333333335,0.1068824558344204,0.10986655455781147,0.22,0.74,0.89,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
