method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,100,0.10429036881192587,0.102280612452887,0.26
Consensus only,100,0.09933002069825307,0.10006520949536934,0.3
Direct,100,0.10730941630899907,0.1077951259794645,0.21
ReplenishVerifier-ConsensusSafe,100,0.10196166803594679,0.102280612452887,0.08
ReplenishVerifier-Full,100,0.10677578186267056,0.10885346995200962,0.22
ReplenishVerifier-FullV2,100,0.10677578186267056,0.10885346995200962,0.08
ReplenishVerifier-HybridSafe,100,0.10196166803594679,0.102280612452887,0.08
ReplenishVerifier-TypeAware,100,0.10052835343638435,0.10174474550876766,0.06
ReplenishVerifier-TypeAware-Consensus,100,0.10196166803594679,0.102280612452887,0.08
Solver only,100,0.0991262622573413,0.09992320649325848,0.32
Structure only,100,0.1068824558344204,0.10986655455781147,0.22
