problem_id,problem_type,full_candidate_id,full_candidate_rank,structure_candidate_id,structure_candidate_rank,same_candidate,full_objective_correct_posthoc,structure_objective_correct_posthoc,full_objective_value,structure_objective_value,full_structure_score,structure_structure_score,full_constraint_coverage,structure_constraint_coverage,full_objective_consensus_score,structure_objective_consensus_score,full_objective_cluster_size,structure_objective_cluster_size,full_objective_term_coverage,structure_objective_term_coverage,full_objective_term_lp_coefficient_coverage,structure_objective_term_lp_coefficient_coverage,full_static_validation_score,structure_static_validation_score,full_type_aware_score,structure_type_aware_score,full_solver_status,structure_solver_status,full_runtime,structure_runtime,diagnostic_reason
fixed_order_cost_big_m_0000,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k1,1,True,1.0,1.0,830.0,830.0,0.875,0.875,1.0,,1.0,1.0,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.1244067179504782,0.1244067179504782,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0001,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k3,3,True,1.0,1.0,558.0,558.0,0.86,0.86,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.10662020603194833,0.10662020603194833,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0002,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k1,1,True,1.0,1.0,826.0,826.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11163191392552108,0.11163191392552108,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0003,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k3,3,True,1.0,1.0,1149.0,1149.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.10077138594351709,0.10077138594351709,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0004,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k3,3,True,1.0,1.0,190.0,190.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.10121943789999932,0.10121943789999932,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0005,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k1,1,True,1.0,1.0,785.0,785.0,0.875,0.875,1.0,,0.8571428571428571,0.8571428571428571,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11933056998532265,0.11933056998532265,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0006,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k3,3,True,1.0,1.0,1286.0,1286.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11185367102734745,0.11185367102734745,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0007,fixed_order_cost_big_m,Qwen3-8B_k4,4,Qwen3-8B_k4,4,True,1.0,1.0,409.0,409.0,0.875,0.875,1.0,,0.875,0.875,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.10847392003051937,0.10847392003051937,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0008,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k0,0,False,0.0,1.0,316.0,461.0,0.835,0.835,1.0,,0.5,0.375,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11798599397297949,0.13715852901805192,bestofk_selected_different_correct_candidate
fixed_order_cost_big_m_0009,fixed_order_cost_big_m,Qwen3-8B_k6,6,Qwen3-8B_k6,6,True,1.0,1.0,324.0,324.0,0.86,0.86,1.0,,0.875,0.875,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.10625167400576174,0.10625167400576174,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0010,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k3,3,True,1.0,1.0,430.0,430.0,0.875,0.875,1.0,,1.0,1.0,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11751524894498289,0.11751524894498289,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0011,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k0,0,False,1.0,1.0,1322.0,1322.0,0.875,0.875,1.0,,0.875,0.875,7,7,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,,Optimal,Optimal,0.12912024499382824,0.124286292004399,objective_terms_disagree_with_structure
fixed_order_cost_big_m_0012,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k1,1,True,1.0,1.0,572.0,572.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11591024207882583,0.11591024207882583,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0013,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k1,1,False,1.0,1.0,1096.0,1096.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,,Optimal,Optimal,0.12781414098571986,0.11946278798859566,objective_terms_disagree_with_structure
fixed_order_cost_big_m_0014,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k1,1,True,1.0,1.0,741.0,741.0,0.875,0.875,1.0,,0.875,0.875,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11591398995369673,0.11591398995369673,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0015,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k1,1,True,1.0,1.0,934.0,934.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.1156594620551914,0.1156594620551914,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0016,fixed_order_cost_big_m,Qwen3-8B_k6,6,Qwen3-8B_k6,6,True,1.0,1.0,367.0,367.0,0.86,0.86,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.10478032904211432,0.10478032904211432,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0017,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k0,0,False,1.0,1.0,884.0,884.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,,Optimal,Optimal,0.10550171497743577,0.10848116292618215,objective_terms_disagree_with_structure
fixed_order_cost_big_m_0018,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k0,0,False,1.0,1.0,660.0,660.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,,Optimal,Optimal,0.0950056619476527,0.09920440101996064,objective_terms_disagree_with_structure
fixed_order_cost_big_m_0019,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k1,1,True,1.0,1.0,834.0,834.0,0.875,0.875,1.0,,1.0,1.0,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.1158064880874008,0.1158064880874008,same_candidate_due_to_structure_dominance
multi_item_capacity_0000,multi_item_capacity,Qwen3-8B_k3,3,Qwen3-8B_k3,3,True,1.0,1.0,420.0,420.0,0.8125,0.8125,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.10439489502459764,0.10439489502459764,same_candidate_due_to_structure_dominance
multi_item_capacity_0001,multi_item_capacity,Qwen3-8B_k3,3,Qwen3-8B_k3,3,True,1.0,1.0,765.0,765.0,0.8125,0.8125,1.0,,0.875,0.875,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11304104095324874,0.11304104095324874,same_candidate_due_to_structure_dominance
multi_item_capacity_0002,multi_item_capacity,Qwen3-8B_k0,0,Qwen3-8B_k0,0,True,1.0,1.0,1286.0,1286.0,0.71875,0.71875,0.875,,0.8571428571428571,0.8571428571428571,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11146706400904804,0.11146706400904804,same_candidate_due_to_structure_dominance
