method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,100,0.10192311649559997,0.10260358947562054,0.26
Consensus only,100,0.0991625971463509,0.09962119947886094,0.33
Direct,100,0.10533254864742048,0.10545015300158411,0.21
ReplenishVerifier-ConsensusSafe,100,0.10169590505538509,0.1024559314828366,0.08
ReplenishVerifier-Full,100,0.10718881436856463,0.10555626201676205,0.22
ReplenishVerifier-FullV2,100,0.10718881436856463,0.10555626201676205,0.08
ReplenishVerifier-HybridSafe,100,0.10169590505538509,0.1024559314828366,0.08
ReplenishVerifier-TypeAware,100,0.1003307722765021,0.10209531401051208,0.06
ReplenishVerifier-TypeAware-Consensus,100,0.10176666521583684,0.1024559314828366,0.08
Solver only,100,0.09893114556674845,0.09958378446754068,0.33
Structure only,100,0.10731852537952363,0.1056914160726592,0.22
