method_a,method_b,n_common,same_count,same_selection_rate
Best-of-K,Consensus only,100,52,0.52
Best-of-K,Direct,100,21,0.21
Best-of-K,ReplenishVerifier-ConsensusSafe,100,78,0.78
Best-of-K,ReplenishVerifier-Full,100,44,0.44
Best-of-K,ReplenishVerifier-FullV2,100,44,0.44
Best-of-K,ReplenishVerifier-HybridSafe,100,78,0.78
Best-of-K,ReplenishVerifier-TypeAware,100,77,0.77
Best-of-K,ReplenishVerifier-TypeAware-Consensus,100,71,0.71
Best-of-K,Solver only,100,51,0.51
Best-of-K,Structure only,100,43,0.43
Consensus only,Direct,100,14,0.14
Consensus only,ReplenishVerifier-ConsensusSafe,100,60,0.6
Consensus only,ReplenishVerifier-Full,100,16,0.16
Consensus only,ReplenishVerifier-FullV2,100,16,0.16
Consensus only,ReplenishVerifier-HybridSafe,100,60,0.6
Consensus only,ReplenishVerifier-TypeAware,100,57,0.57
Consensus only,ReplenishVerifier-TypeAware-Consensus,100,54,0.54
Consensus only,Solver only,100,94,0.94
Consensus only,Structure only,100,16,0.16
Direct,ReplenishVerifier-ConsensusSafe,100,11,0.11
Direct,ReplenishVerifier-Full,100,47,0.47
Direct,ReplenishVerifier-FullV2,100,47,0.47
Direct,ReplenishVerifier-HybridSafe,100,11,0.11
Direct,ReplenishVerifier-TypeAware,100,11,0.11
Direct,ReplenishVerifier-TypeAware-Consensus,100,12,0.12
Direct,Solver only,100,14,0.14
Direct,Structure only,100,52,0.52
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-Full,100,45,0.45
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-FullV2,100,45,0.45
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-HybridSafe,100,100,1.0
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware,100,97,0.97
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware-Consensus,100,88,0.88
ReplenishVerifier-ConsensusSafe,Solver only,100,56,0.56
ReplenishVerifier-ConsensusSafe,Structure only,100,42,0.42
ReplenishVerifier-Full,ReplenishVerifier-FullV2,100,100,1.0
ReplenishVerifier-Full,ReplenishVerifier-HybridSafe,100,45,0.45
ReplenishVerifier-Full,ReplenishVerifier-TypeAware,100,44,0.44
ReplenishVerifier-Full,ReplenishVerifier-TypeAware-Consensus,100,53,0.53
ReplenishVerifier-Full,Solver only,100,16,0.16
ReplenishVerifier-Full,Structure only,100,92,0.92
ReplenishVerifier-FullV2,ReplenishVerifier-HybridSafe,100,45,0.45
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware,100,44,0.44
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware-Consensus,100,53,0.53
ReplenishVerifier-FullV2,Solver only,100,16,0.16
ReplenishVerifier-FullV2,Structure only,100,92,0.92
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware,100,97,0.97
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware-Consensus,100,88,0.88
ReplenishVerifier-HybridSafe,Solver only,100,56,0.56
ReplenishVerifier-HybridSafe,Structure only,100,42,0.42
ReplenishVerifier-TypeAware,ReplenishVerifier-TypeAware-Consensus,100,85,0.85
ReplenishVerifier-TypeAware,Solver only,100,53,0.53
ReplenishVerifier-TypeAware,Structure only,100,41,0.41
ReplenishVerifier-TypeAware-Consensus,Solver only,100,50,0.5
ReplenishVerifier-TypeAware-Consensus,Structure only,100,49,0.49
Solver only,Structure only,100,16,0.16
