method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,100,0.10415938197402283,0.10230693401535973,0.24
Consensus only,100,0.10120772168389522,0.10036261496134102,0.28
Direct,100,0.1081963108596392,0.10835062304977328,0.24
ReplenishVerifier-ConsensusSafe,100,0.10348472798708826,0.10264108254341409,0.07
ReplenishVerifier-Full,100,0.10967191092669965,0.10825728304916993,0.19
ReplenishVerifier-FullV2,100,0.10967191092669965,0.10825728304916993,0.07
ReplenishVerifier-HybridSafe,100,0.10348472798708826,0.10264108254341409,0.07
ReplenishVerifier-TypeAware,100,0.1024982967460528,0.10239995399024338,0.06
ReplenishVerifier-TypeAware-Consensus,100,0.10433343678945675,0.10264108254341409,0.07
Solver only,100,0.1010373286518734,0.10024032049113885,0.28
Structure only,100,0.11088437444530427,0.10836391249904409,0.19
