method_a,method_b,same_selection_rate,objective_accuracy_a,objective_accuracy_b,recommendation
Best-of-K,Consensus only,0.58,0.82,0.82,distinct_selection
Best-of-K,Direct,0.17,0.82,0.7,distinct_selection
Best-of-K,ReplenishVerifier-ConsensusSafe,0.82,0.82,0.83,distinct_selection
Best-of-K,ReplenishVerifier-Full,0.42,0.82,0.83,distinct_selection
Best-of-K,ReplenishVerifier-FullV2,0.42,0.82,0.83,distinct_selection
Best-of-K,ReplenishVerifier-HybridSafe,0.82,0.82,0.83,distinct_selection
Best-of-K,ReplenishVerifier-TypeAware,0.8,0.82,0.83,distinct_selection
Best-of-K,ReplenishVerifier-TypeAware-Consensus,0.84,0.82,0.84,distinct_selection
Best-of-K,Solver only,0.58,0.82,0.82,distinct_selection
Best-of-K,Structure only,0.4,0.82,0.82,distinct_selection
Consensus only,Direct,0.12,0.82,0.7,distinct_selection
Consensus only,ReplenishVerifier-ConsensusSafe,0.66,0.82,0.83,distinct_selection
Consensus only,ReplenishVerifier-Full,0.16,0.82,0.83,distinct_selection
Consensus only,ReplenishVerifier-FullV2,0.16,0.82,0.83,distinct_selection
Consensus only,ReplenishVerifier-HybridSafe,0.66,0.82,0.83,distinct_selection
Consensus only,ReplenishVerifier-TypeAware,0.62,0.82,0.83,distinct_selection
Consensus only,ReplenishVerifier-TypeAware-Consensus,0.64,0.82,0.84,distinct_selection
Consensus only,Solver only,0.95,0.82,0.82,high_overlap_consider_merge_explanation
Consensus only,Structure only,0.14,0.82,0.82,distinct_selection
Direct,ReplenishVerifier-ConsensusSafe,0.09,0.7,0.83,distinct_selection
Direct,ReplenishVerifier-Full,0.48,0.7,0.83,distinct_selection
Direct,ReplenishVerifier-FullV2,0.48,0.7,0.83,distinct_selection
Direct,ReplenishVerifier-HybridSafe,0.09,0.7,0.83,distinct_selection
Direct,ReplenishVerifier-TypeAware,0.08,0.7,0.83,distinct_selection
Direct,ReplenishVerifier-TypeAware-Consensus,0.08,0.7,0.84,distinct_selection
Direct,Solver only,0.11,0.7,0.82,distinct_selection
Direct,Structure only,0.54,0.7,0.82,distinct_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-Full,0.39,0.83,0.83,distinct_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-FullV2,0.39,0.83,0.83,distinct_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-HybridSafe,1.0,0.83,0.83,alias_like_same_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware,0.95,0.83,0.83,high_overlap_consider_merge_explanation
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware-Consensus,0.98,0.83,0.84,high_overlap_consider_merge_explanation
ReplenishVerifier-ConsensusSafe,Solver only,0.65,0.83,0.82,distinct_selection
ReplenishVerifier-ConsensusSafe,Structure only,0.36,0.83,0.82,distinct_selection
ReplenishVerifier-Full,ReplenishVerifier-FullV2,1.0,0.83,0.83,alias_like_same_selection
ReplenishVerifier-Full,ReplenishVerifier-HybridSafe,0.39,0.83,0.83,distinct_selection
ReplenishVerifier-Full,ReplenishVerifier-TypeAware,0.37,0.83,0.83,distinct_selection
ReplenishVerifier-Full,ReplenishVerifier-TypeAware-Consensus,0.4,0.83,0.84,distinct_selection
ReplenishVerifier-Full,Solver only,0.16,0.83,0.82,distinct_selection
ReplenishVerifier-Full,Structure only,0.93,0.83,0.82,distinct_selection
ReplenishVerifier-FullV2,ReplenishVerifier-HybridSafe,0.39,0.83,0.83,distinct_selection
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware,0.37,0.83,0.83,distinct_selection
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware-Consensus,0.4,0.83,0.84,distinct_selection
ReplenishVerifier-FullV2,Solver only,0.16,0.83,0.82,distinct_selection
ReplenishVerifier-FullV2,Structure only,0.93,0.83,0.82,distinct_selection
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware,0.95,0.83,0.83,high_overlap_consider_merge_explanation
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware-Consensus,0.98,0.83,0.84,high_overlap_consider_merge_explanation
ReplenishVerifier-HybridSafe,Solver only,0.65,0.83,0.82,distinct_selection
ReplenishVerifier-HybridSafe,Structure only,0.36,0.83,0.82,distinct_selection
ReplenishVerifier-TypeAware,ReplenishVerifier-TypeAware-Consensus,0.93,0.83,0.84,distinct_selection
ReplenishVerifier-TypeAware,Solver only,0.61,0.83,0.82,distinct_selection
ReplenishVerifier-TypeAware,Structure only,0.34,0.83,0.82,distinct_selection
ReplenishVerifier-TypeAware-Consensus,Solver only,0.63,0.84,0.82,distinct_selection
ReplenishVerifier-TypeAware-Consensus,Structure only,0.37,0.84,0.82,distinct_selection
Solver only,Structure only,0.14,0.82,0.82,distinct_selection
