method,n,objective_accuracy_count,objective_accuracy_total,structure_complete_count,structure_complete_total,code_validity_rate,executable_rate,optimal_rate,solver_status_optimal_rate,solver_status_infeasible_rate,solver_status_timeout_rate,solver_status_error_rate,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap,structure_completeness,inventory_balance_accuracy,constraint_coverage,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage,average_runtime_sec,median_runtime_sec,average_repair_feedback_count,objective_accuracy_ci_low,objective_accuracy_ci_high,structure_completeness_ci_low,structure_completeness_ci_high,constraint_coverage_ci_low,constraint_coverage_ci_high
Best-of-K,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.12887548740789667,0.0,0.12887548740789667,0.0,0.803203571428572,1.0,0.9394444444444444,0.98,0.9209621993127148,0.9133333333333334,0.10192311649559997,0.10260358947562054,0.26,0.74,0.9,0.764665674603175,0.830512301587302,0.8936111111111111,0.9716666666666666
Consensus only,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.11920555437867182,0.0,0.11920555437867182,0.0,0.7900660714285712,1.0,0.9306944444444444,1.0,0.9175257731958765,0.92,0.0991625971463509,0.09962119947886094,0.33,0.74,0.89,0.7533869047619051,0.8174837301587304,0.8876388888888891,0.9623611111111111
Direct,100,70,100,0,100,1.0,0.91,0.78,0.78,0.12,0.0,0.09,0.7,0.1432223652661633,0.0,0.1432223652661633,0.0,0.7489063492063489,1.0,0.8841666666666665,1.0,0.9194139194139199,0.926666666666667,0.10533254864742048,0.10545015300158411,0.21,0.62,0.79,0.6980817460317461,0.7914765873015877,0.8245833333333333,0.9341666666666667
ReplenishVerifier-ConsensusSafe,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.11853790974628865,0.0,0.11853790974628865,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.10169590505538509,0.1024559314828366,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
ReplenishVerifier-Full,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.11543912375010025,0.0,0.11543912375010025,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.10718881436856463,0.10555626201676205,0.22,0.76,0.9,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
ReplenishVerifier-FullV2,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.11543912375010025,0.0,0.11543912375010025,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.10718881436856463,0.10555626201676205,0.08,0.76,0.9,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
ReplenishVerifier-HybridSafe,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.11853790974628865,0.0,0.11853790974628865,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.10169590505538509,0.1024559314828366,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
ReplenishVerifier-TypeAware,100,83,100,0,100,1.0,0.93,0.87,0.87,0.06,0.0,0.07,0.83,0.02521487350406109,0.0,0.02521487350406109,0.0,0.7805994047619054,1.0,0.9136111111111112,1.0,0.9318996415770608,0.9366666666666665,0.1003307722765021,0.10209531401051208,0.06,0.75,0.9,0.7345488095238102,0.8199849206349209,0.8608333333333335,0.9602777777777777
ReplenishVerifier-TypeAware-Consensus,100,84,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.84,0.11510148362945018,0.0,0.11510148362945018,0.0,0.8072660714285721,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.10176666521583684,0.1024559314828366,0.08,0.77,0.91,0.7696301587301594,0.8352865079365084,0.901111111111111,0.9773611111111111
Solver only,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.14499946661667118,0.0,0.14499946661667118,0.0,0.7900017857142855,1.0,0.9306944444444444,1.0,0.9175257731958765,0.92,0.09893114556674845,0.09958378446754068,0.33,0.74,0.89,0.7532904761904762,0.8175656746031751,0.8876388888888891,0.9623611111111111
Structure only,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9072164948453612,0.9033333333333335,0.10731852537952363,0.1056914160726592,0.22,0.74,0.89,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
