method,n,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap
Best-of-K,100,0.81,0.17549670644352247,0.0,0.17549670644352247,0.0
Consensus only,100,0.8,0.16103655740803302,0.0,0.16103655740803302,0.0
Direct,100,0.67,0.14746602743650278,0.0,0.14746602743650278,0.0
ReplenishVerifier-ConsensusSafe,100,0.81,0.15278913472762068,0.0,0.15278913472762068,0.0
ReplenishVerifier-Full,100,0.81,0.152981575186416,0.0,0.152981575186416,0.0
ReplenishVerifier-FullV2,100,0.81,0.152981575186416,0.0,0.152981575186416,0.0
ReplenishVerifier-HybridSafe,100,0.81,0.15278913472762068,0.0,0.15278913472762068,0.0
ReplenishVerifier-TypeAware,100,0.81,0.0605824814546796,0.0,0.0605824814546796,0.0
ReplenishVerifier-TypeAware-Consensus,100,0.82,0.14848435198957988,0.0,0.14848435198957988,0.0
Solver only,100,0.78,0.16433031567266587,0.0,0.16433031567266587,0.0
Structure only,100,0.81,0.16472504985684194,0.0,0.16472504985684194,0.0
