method,n,executable_rate,optimal_rate,objective_accuracy,structure_completeness,inventory_balance_accuracy,constraint_coverage,average_runtime_sec,average_repair_feedback_count,group,difficulty
Best-of-K,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03920480003580451,0.0,easy,easy
Best-of-K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03598744998453185,0.0,hard,hard
Best-of-K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03676084999460727,0.0,medium,medium
Direct,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03920480003580451,0.0,easy,easy
Direct,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03598744998453185,0.0,hard,hard
Direct,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03676084999460727,0.0,medium,medium
ReplenishVerifier-Full,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03920480003580451,0.0,easy,easy
ReplenishVerifier-Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03598744998453185,0.0,hard,hard
ReplenishVerifier-Full,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03676084999460727,0.0,medium,medium
ReplenishVerifier-Repair,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03920480003580451,0.0,easy,easy
ReplenishVerifier-Repair,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03598744998453185,0.0,hard,hard
ReplenishVerifier-Repair,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03676084999460727,0.0,medium,medium
Solver-Filter,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03920480003580451,0.0,easy,easy
Solver-Filter,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03598744998453185,0.0,hard,hard
Solver-Filter,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03676084999460727,0.0,medium,medium
Structure-Only,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03920480003580451,0.0,easy,easy
Structure-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03598744998453185,0.0,hard,hard
Structure-Only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03676084999460727,0.0,medium,medium
