method,n,executable_rate,optimal_rate,objective_accuracy,structure_completeness,inventory_balance_accuracy,constraint_coverage,average_runtime_sec,average_repair_feedback_count,group,difficulty
Best-of-K,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
Best-of-K,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
Best-of-K,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
Consensus only,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
Consensus only,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
Consensus only,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
Direct,10,0.0,0.0,0.0,0.0,0.0,0.0,0.05853286879719235,0.0,easy,easy
Direct,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
Direct,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
OR-R1-like Voting,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
OR-R1-like Voting,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
OR-R1-like Voting,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
OptArgus-like Audit,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
OptArgus-like Audit,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
OptArgus-like Audit,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
OptiRepair-like Repair-Prompt,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
OptiRepair-like Repair-Prompt,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
OptiRepair-like Repair-Prompt,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
ReplenishVerifier-Full,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
ReplenishVerifier-Full,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
ReplenishVerifier-Full,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
ReplenishVerifier-Repair,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
ReplenishVerifier-Repair,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
ReplenishVerifier-Repair,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
SIRL-like LP-Stats,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
SIRL-like LP-Stats,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
SIRL-like LP-Stats,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
Solver + Consensus,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
Solver + Consensus,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
Solver + Consensus,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
Solver + Structure,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
Solver + Structure,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
Solver + Structure,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
Solver + Structure + Consensus,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
Solver + Structure + Consensus,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
Solver + Structure + Consensus,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
Solver only,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
Solver only,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
Solver only,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
Solver-Filter,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
Solver-Filter,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
Solver-Filter,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
Structure + Consensus,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
Structure + Consensus,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
Structure + Consensus,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
Structure only,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
Structure only,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
Structure only,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
Structure-Grounded Consistency,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
Structure-Grounded Consistency,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
Structure-Grounded Consistency,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
Structure-Only,10,0.1,0.1,0.1,0.08333333333333334,0.0,1.0,0.06028296169824898,0.0,easy,easy
Structure-Only,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06408550525229657,0.0,hard,hard
Structure-Only,20,0.0,0.0,0.0,0.0,0.0,0.0,0.059100512949225956,0.0,medium,medium
