method,error_type,count,rate,total
Best-of-K,execution_error,49,0.98,50
Best-of-K,no_error_detected,1,0.02,50
Consensus only,execution_error,49,0.98,50
Consensus only,no_error_detected,1,0.02,50
Direct,execution_error,50,1.0,50
OR-R1-like Voting,execution_error,49,0.98,50
OR-R1-like Voting,no_error_detected,1,0.02,50
OptArgus-like Audit,execution_error,49,0.98,50
OptArgus-like Audit,no_error_detected,1,0.02,50
OptiRepair-like Repair-Prompt,execution_error,49,0.98,50
OptiRepair-like Repair-Prompt,no_error_detected,1,0.02,50
ReplenishVerifier-Full,execution_error,49,0.98,50
ReplenishVerifier-Full,no_error_detected,1,0.02,50
ReplenishVerifier-Repair,execution_error,49,0.98,50
ReplenishVerifier-Repair,no_error_detected,1,0.02,50
SIRL-like LP-Stats,execution_error,49,0.98,50
SIRL-like LP-Stats,no_error_detected,1,0.02,50
Solver + Consensus,execution_error,49,0.98,50
Solver + Consensus,no_error_detected,1,0.02,50
Solver + Structure,execution_error,49,0.98,50
Solver + Structure,no_error_detected,1,0.02,50
Solver + Structure + Consensus,execution_error,49,0.98,50
Solver + Structure + Consensus,no_error_detected,1,0.02,50
Solver only,execution_error,49,0.98,50
Solver only,no_error_detected,1,0.02,50
Solver-Filter,execution_error,49,0.98,50
Solver-Filter,no_error_detected,1,0.02,50
Structure + Consensus,execution_error,49,0.98,50
Structure + Consensus,no_error_detected,1,0.02,50
Structure only,execution_error,49,0.98,50
Structure only,no_error_detected,1,0.02,50
Structure-Grounded Consistency,execution_error,49,0.98,50
Structure-Grounded Consistency,no_error_detected,1,0.02,50
Structure-Only,execution_error,49,0.98,50
Structure-Only,no_error_detected,1,0.02,50
