method,n,executable_rate,optimal_rate,objective_accuracy,structure_completeness,inventory_balance_accuracy,constraint_coverage,average_runtime_sec,average_repair_feedback_count,group,difficulty
Best-of-K,3,1.0,1.0,0.0,0.6,0.0,0.6,0.4634696666810972,2.0,easy,easy
Best-of-K,6,1.0,1.0,0.0,0.6857142857142856,1.0,0.6666666666666666,0.44180306666142616,2.0,hard,hard
Best-of-K,6,1.0,1.0,0.0,0.8333333333333334,1.0,0.8,0.43969618332145427,1.0,medium,medium
Direct,3,0.0,0.0,0.0,0.0,0.0,0.0,0.4315606000018306,0.0,easy,easy
Direct,6,0.0,0.0,0.0,0.0,0.0,0.0,0.4209509166830685,0.0,hard,hard
Direct,6,0.0,0.0,0.0,0.0,0.0,0.0,0.4289961666800082,0.0,medium,medium
ReplenishVerifier-Full,3,1.0,1.0,1.0,1.0,0.0,1.0,0.4810780666690941,0.0,easy,easy
ReplenishVerifier-Full,6,1.0,1.0,1.0,1.0,1.0,1.0,0.4792092499944071,0.0,hard,hard
ReplenishVerifier-Full,6,1.0,1.0,1.0,1.0,1.0,1.0,0.4789300166497317,0.0,medium,medium
ReplenishVerifier-Repair,3,1.0,1.0,1.0,1.0,0.0,1.0,0.4810780666690941,0.0,easy,easy
ReplenishVerifier-Repair,6,1.0,1.0,1.0,1.0,1.0,1.0,0.4792092499944071,0.0,hard,hard
ReplenishVerifier-Repair,6,1.0,1.0,1.0,1.0,1.0,1.0,0.4789300166497317,0.0,medium,medium
Solver-Filter,3,1.0,1.0,1.0,1.0,0.0,1.0,0.4810780666690941,0.0,easy,easy
Solver-Filter,6,1.0,1.0,1.0,0.9,1.0,0.9166666666666666,0.46330151668128866,0.5,hard,hard
Solver-Filter,6,1.0,1.0,1.0,1.0,1.0,1.0,0.4789300166497317,0.0,medium,medium
Structure-Only,3,1.0,1.0,1.0,1.0,0.0,1.0,0.4810780666690941,0.0,easy,easy
Structure-Only,6,1.0,1.0,1.0,1.0,1.0,1.0,0.4792092499944071,0.0,hard,hard
Structure-Only,6,1.0,1.0,0.5,1.0,1.0,1.0,0.4524511666483401,0.0,medium,medium
